old_id,new_id
tt0158058,tt0129280
tt0374240,tt0118480
tt0131677,tt0112090
tt0163931,tt0083689
tt0301556,tt0228968
tt0497949,tt0368078
tt0123121,tt0086119
tt0153496,tt0144134
tt0956310,tt0922366
tt0105823,tt0105822
tt0976022,tt0974014
tt0676145,tt0406516
tt0384118,tt0065760
tt0121296,tt0044602
tt0340874,tt0322659
tt0189162,tt0069417
tt0093770,tt0093602
tt0196026,tt0093441
tt0384402,tt0246135
tt0089314,tt0088089
tt0025956,tt0024037
tt0229221,tt0115953
tt0192934,tt0106168
tt0359865,tt0350051
tt0086364,tt0085514
tt0760143,tt0239195
tt0313271,tt0312687
tt0126738,tt0115872
tt0249376,tt0131857
tt0159539,tt0086973
tt0185398,tt0137427
tt0219691,tt0217769
tt0676155,tt0278634
tt0046999,tt0046998
tt0201040,tt0101121
tt0123259,tt0020004
tt0191819,tt0039735
tt0299209,tt0259733
tt0340922,tt0313505
tt0413524,tt0409965
tt0127931,tt0059558
tt0073071,tt0071576
tt0835204,tt0833098
tt0935787,tt0339442
tt0536975,tt0102416
tt0216239,tt0005864
tt0578119,tt0187844
tt0323491,tt0274905
tt0125266,tt0079197
tt0713512,tt0096195
tt0131652,tt0117433
tt0117559,tt0108915
tt0189282,tt0061300
tt0083847,tt0073537
tt0366109,tt0364817
tt0089235,tt0084035
tt0121036,tt0075866
